Plant Name,Image File Name,Source URL,Status
Silk Tassel Bush,Silk_Tassel_Bush.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Garrya_elliptica.jpg,Downloaded
Hollyleaf Cherry,Hollyleaf_Cherry.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Prunus_ilicifolia_ne1.jpg/960px-Prunus_ilicifolia_ne1.jpg,Downloaded
Scalebroom,Scalebroom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Lepidospartum_latisquamum_7.jpg/960px-Lepidospartum_latisquamum_7.jpg,Downloaded
Bladderpod,Bladderpod.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/13544465/large.jpeg,Downloaded
Blue Dicks,Blue_Dicks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dichelostemma_capitatum_2003-02-04.jpg/960px-Dichelostemma_capitatum_2003-02-04.jpg,Downloaded
Superb Mariposa Lily,Superb_Mariposa_Lily.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Sego_lily_cm.jpg/960px-Sego_lily_cm.jpg,Downloaded
Yellow Mariposa Lily,Yellow_Mariposa_Lily.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/3878/large.jpg,Downloaded
Ithuriel's Spear,Ithuriel_s_Spear.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Triteleia_laxa_flower_in_bloom.jpg/960px-Triteleia_laxa_flower_in_bloom.jpg,Downloaded
White Globe Lily,White_Globe_Lily.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Calochortus_albus_flowers.jpg/960px-Calochortus_albus_flowers.jpg,Downloaded
Shooting Star,Shooting_Star.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Dodecatheon_meadia_01.JPG/960px-Dodecatheon_meadia_01.JPG,Downloaded
Indian Paintbrush,Indian_Paintbrush.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/42374889/large.jpeg,Downloaded
Owl's Clover,Owl_s_Clover.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/182011437/large.jpg,Downloaded
Tidy Tips,Tidy_Tips.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Layia_platyglossa_Tidy-Tips%21_%28hortulus%29_001.jpg/960px-Layia_platyglossa_Tidy-Tips%21_%28hortulus%29_001.jpg,Downloaded
Baby Blue Eyes,Baby_Blue_Eyes.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Nemophila_menziesii_7794.JPG/960px-Nemophila_menziesii_7794.JPG,Downloaded
Farewell to Spring,Farewell_to_Spring.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Clarkia_amoena.jpg,Downloaded
Globe Gilia,Globe_Gilia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Gilia_capitata.JPG/960px-Gilia_capitata.JPG,Downloaded
Chia,Chia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Salvia_hispanica_kz2.jpg/960px-Salvia_hispanica_kz2.jpg,Downloaded
California Milkmaids,California_Milkmaids.jpg,,FAILED
Miniature Lupine,Miniature_Lupine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Lupinus_polyphyllus_526960203.jpg/960px-Lupinus_polyphyllus_526960203.jpg,Downloaded
Sky Lupine,Sky_Lupine.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Lupinus_polyphyllus_526960203.jpg/960px-Lupinus_polyphyllus_526960203.jpg,Downloaded
Red Maids,Red_Maids.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/34603827/large.jpeg,Downloaded
Blue-eyed Grass,Blue_eyed_Grass.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/BlueEyedGrass.jpg,Downloaded
Chinese Houses,Chinese_Houses.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pilea_peperomioides_Chinese_money_plant.jpg/960px-Pilea_peperomioides_Chinese_money_plant.jpg,Downloaded
Douglas Iris,Douglas_Iris.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Iris_sanguinea_cultivar%2C_Wakehurst_Place%2C_UK_-_Diliff.jpg/960px-Iris_sanguinea_cultivar%2C_Wakehurst_Place%2C_UK_-_Diliff.jpg,Downloaded
Checker Bloom,Checker_Bloom.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Sidalcea_malachroides_4.jpg/960px-Sidalcea_malachroides_4.jpg,Downloaded
Scarlet Bugler Penstemon,Scarlet_Bugler_Penstemon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Penstemon_barbatus_-_Wendy_McCrady_01.jpg/960px-Penstemon_barbatus_-_Wendy_McCrady_01.jpg,Downloaded
Foothill Penstemon,Foothill_Penstemon.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Penstemonheterophyllus0.jpg/960px-Penstemonheterophyllus0.jpg,Downloaded
California Goldfields,California_Goldfields.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Lasthenia_californica.jpg/960px-Lasthenia_californica.jpg,Downloaded
superb Mariposa Lily,superb_Mariposa_Lily.jpg,(existing),Skipped (existing)
Wind Poppy,Wind_Poppy.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Papaver_rhoeas_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-101.jpg,Downloaded
Blazing Star,Blazing_Star.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/49024936/large.jpg,Downloaded
Woolly Sunflower,Woolly_Sunflower.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Sunflower_sky_backdrop.jpg/960px-Sunflower_sky_backdrop.jpg,Downloaded
Tarweed,Tarweed.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Madia-sativa.jpg/960px-Madia-sativa.jpg,Downloaded
Mule Ears,Mule_Ears.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/11682/large.jpg,Downloaded
Gumweed,Gumweed.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Curlycup_Gumweed.jpg/960px-Curlycup_Gumweed.jpg,Downloaded
Seaside Daisy,Seaside_Daisy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Erigeron_Glaucus.jpg/960px-Erigeron_Glaucus.jpg,Downloaded
Desert Chicory,Desert_Chicory.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Pyrrhopappus_Multicaulis.jpg/960px-Pyrrhopappus_Multicaulis.jpg,Downloaded
